Participant_ID,EIT_Version,Sentence,Stimulus,Syllables,Transcription,Confidence,Edit_Dist_to_Target,ASR_Suspect_Words,Whisper_AvgLogProb,Whisper_NoSpeechProb,DP_Cost,Start_Sec,End_Sec,N_Segs_Merged
38012,2A,28,El examen no fue tan difícil como me habían dicho,17,"El tarea es algo difícil, pero derecha.",LOW,0.6122,,-0.5386,0.1715,0.6122,346.928,369.314,1
38012,2A,29,¿Serías tan amable de darme el libro que está en la mesa?,17,¿Qué está en la mesa? Este libro.,LOW,0.7018,,-0.5386,0.1715,0.7018,369.314,380.085,1
38012,2A,30,Hay mucha gente que no toma nada para el desayuno,17,"Son en la mesa. Hay muchos ejemplos, pero...",LOW,0.7755,,-0.5386,0.1715,0.7755,380.085,391.04,1
38015,1A,1,Quiero cortarme el pelo,7,cortarme el pelo.,MEDIUM,0.3478,,-0.0787,0.4651,0.3478,148.99,153.837,1
38015,1A,2,El libro está en la mesa,7,El libro está en la mesa.,HIGH,0.04,,-0.0787,0.4651,0.04,153.837,160.965,1
38015,1A,3,El carro lo tiene Pedro,8,¿El carro no tiene pelo? Él se ducha cada,LOW,0.6111,,-0.0787,0.4651,0.6111,160.965,172.37,1
38015,1A,4,El se ducha cada mañana,9,mañana.,LOW,0.7826,,-0.0787,0.4651,0.7826,172.37,174.719,1
38015,1A,5,¿Qué dice usted que va a hacer hoy?,9,¿Qué dice ustedes que va a hacer hoy?,HIGH,0.0541,,-0.0787,0.4651,0.0541,174.719,187.137,1
38015,1A,6,Dudo que sepa manejar muy bien,10,¿Tuvo que sepa manejar bien? Las calles,MEDIUM,0.4359,,-0.0787,0.4651,0.4359,187.137,199.89,1
38015,1A,7,Las calles de esta ciudad son muy anchas,11,de esta ciudad son muy anchas.,MEDIUM,0.3,,-0.0787,0.4651,0.3,199.89,207.697,1
38015,1A,8,Puede que llueva mañana todo el día,12,Puede que lleve mañana todo el día.,HIGH,0.0857,,-0.0787,0.4651,0.0857,207.697,216.804,1
38015,1A,9,Las casas son muy bonitas pero caras,12,Las casas son muy bonitos pero caras.,CHECK,0.0541,bonitos→bonitas(0.86),-0.1086,0.5791,0.0541,216.804,226.545,1
38015,1A,10,Me gustan las películas que acaban bien,12,Me gusta las películas que acaban bien.,CHECK,0.0513,gusta→gustan(0.83),-0.1086,0.5791,0.0513,226.545,238.012,1
38015,1A,11,El chico con el que yo salgo es español,13,El chico con esto algo es español.,MEDIUM,0.2308,,-0.1086,0.5791,0.2308,238.012,248.01,1
38015,1A,12,Después de cenar me fui a dormir tranquilo,13,"Después de cenar, me fui a dormir tranquilo.",HIGH,0.0455,,-0.1086,0.5791,0.0455,257.58,264.833,1
38015,1A,13,Quiero una casa en la que vivan mis animales,14,Quiero una casa en la que vivan mis animales.,HIGH,0.0222,,-0.1086,0.5791,0.0222,264.833,272.25,1
38015,1A,14,A nosotros nos fascinan las fiestas grandiosas,14,A nosotros nos fascinan las fiestas grandes.,HIGH,0.087,,-0.1086,0.5791,0.087,272.77,291.446,1
38015,1A,15,Ella sólo bebe cerveza y no come nada,15,Ella solo bebe cerveza y come nada.,HIGH,0.1081,,-0.1086,0.5791,0.1081,291.446,306.301,1
38015,1A,16,Me gustaría que el precio de las casas bajara,15,Me gustaría Vería las preciosas cajas.,MEDIUM,0.4667,,-0.233,0.5791,0.4667,306.301,312.43,1
38015,1A,17,Cruza a la derecha y después sigue todo recto,15,Cruza a la derecha y sigue el todo resto.,CHECK,0.2667,resto→recto(0.8),-0.233,0.4084,0.2667,324.17,326.97,1
38015,1A,18,Ella ha terminado de pintar su apartamento,15,Ello ha terminado de pintar su apartamento.,HIGH,0.0465,,-0.233,0.4084,0.0465,337.94,341.34,1
38015,1A,19,Me gustaría que empezara a hacer más calor pronto,15,Me gustaría hacer más calor pronto.,MEDIUM,0.3265,,-0.233,0.4084,0.3265,351.18,355.1,1
38015,1A,20,El niño al que se le murió el gato está triste,16,El niño que se murió el gato y está triste.,HIGH,0.1957,,-0.233,0.4084,0.1957,364.84,369.68,1
38015,1A,21,Una amiga mía cuida a los niños de mi vecino,16,Una amiga me ha cuidado a los niños.,MEDIUM,0.4091,,-0.233,0.4084,0.4091,378.72,381.28,1
38015,1A,22,El gato que era negro fue perseguido por el perro,16,El gato negro fuera perseguido por el perro.,MEDIUM,0.2245,,-0.233,0.4084,0.2245,381.96,396.75,1
38015,1A,23,Antes de poder salir él tiene que limpiar su cuarto,16,"Antes de tener que salir, limpiar el cuarto.",MEDIUM,0.4314,,-0.2002,0.2488,0.4314,396.75,413.83,1
38015,1A,24,La cantidad de personas que fuman ha disminuido,17,La cantidad de personas que fuman es...,MEDIUM,0.2553,,-0.2002,0.2488,0.2553,413.83,428.97,1
38015,1A,25,Después de llegar a casa del trabajo tomé la cena,17,"Después de llegar a la casa, después del trabajo, comer la cena.",MEDIUM,0.25,,-0.2002,0.2488,0.25,430.23,444.72,1
38015,1A,26,El ladrón al que atrapó la policía era famoso,17,El otro que atrapó con la publicidad era famosa.,CHECK,0.3542,famosa→famoso(0.83),-0.2002,0.2488,0.3542,455.09,465.744,1
38015,1A,27,Le pedí a un amigo que me ayudara con la tarea,17,Le pedí a un amigo que me ayude en la tarea.,HIGH,0.1304,,-0.2002,0.2488,0.1304,465.744,475.51,1
38015,1A,28,El examen no fue tan difícil como me habían dicho,17,"El pruebo no fue difícil, me han dicho.",MEDIUM,0.3878,,-0.1804,0.2142,0.3878,475.51,491.44,1
38015,1A,29,¿Serías tan amable de darme el libro que está en la mesa?,17,"Serías tan amable, puedes darme el libro en la mesa.",MEDIUM,0.2807,,-0.1804,0.2142,0.2807,501.59,507.13,1
38015,1A,30,Hay mucha gente que no toma nada para el desayuno,17,Hay mucha gente que no toma nada para el desayuno.,HIGH,0.02,,-0.1804,0.2142,0.02,516.16,520.0,1
